Passage,Argument,Web Source,Author,Text
"Modern science is built on the process of posing hypotheses and testing them against observations—in essence, attempting to show that the hypotheses are incorrect. Nothing brings more recognition than overthrowing conventional wisdom. It is accordingly unsurprising that some scientists are skeptical of the widely accepted predictions of global warming. What is instead remarkable is that with hundreds of researchers striving to make breakthroughs in climatology, very few find evidence that global warming is unlikely.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Historian: The Land Party achieved its only national victory in Banestria in 1935. It received most of its support that year in rural and semirural areas, where the bulk of Banestria's population lived at the time. The economic woes of the years surrounding that election hit agricultural and small business interests the hardest, and the Land Party specifically targeted those groups in 1935. I conclude that the success of the Land Party that year was due to the combination of the Land Party's specifically addressing the concerns of these groups and the depth of the economic problems people in these groups were facing.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Gamba: Muñoz claims that the Southwest Hopeville Neighbors Association overwhelmingly opposes the new water system, citing this as evidence of citywide opposition. The association did pass a resolution opposing the new water system, but only 25 of 350 members voted, with 10 in favor of the system. Furthermore, the 15 opposing votes represent far less than 1 percent of Hopeville's population. One should not assume that so few votes represent the view of the majority of Hopeville's residents.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Driver: My friends say I will one day have an accident because I drive my sports car recklessly. But I have done some research, and apparently minivans and larger sedans have very low accident rates compared to sports cars. So trading my sports car in for a minivan would lower my risk of having an accident.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Editorialist: News media rarely cover local politics thoroughly, and local political business is usually conducted secretively. These factors each tend to isolate local politicians from their electorates. This has the effect of reducing the chance that any particular act of resident participation will elicit a positive official response, which in turn discourages resident participation in local politics.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Philosopher: An action is morally right if it would be reasonably expected to increase the aggregate well-being of the people affected by it. An action is morally wrong if and only if it would be reasonably expected to reduce the aggregate well-being of the people affected by it. Thus, actions that would be reasonably expected to leave unchanged the aggregate well-being of the people affected by them are also right.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Car companies solicit consumer information on such human factors as whether a seat is comfortable or whether a set of controls is easy to use. However, designer interaction with consumers is superior to survey data; the data may tell the designer why a feature on last year's model was given a low rating, but data will not explain how that feature needs to be changed in order to receive a higher rating.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"During the nineteenth century, the French academy of art was a major financial sponsor of painting and sculpture in France; sponsorship by private individuals had decreased dramatically by this time. Because the academy discouraged innovation in the arts, there was little innovation in nineteenth century French sculpture. Yet nineteenth century French painting showed a remarkable degree of innovation.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Carolyn: The artist Marc Quinn has displayed, behind a glass plate, biologically replicated fragments of Sir John Sulston's DNA, calling it a ""conceptual portrait"" of Sulston. But to be a portrait, something must bear a recognizable resemblance to its subject. Arnold: I disagree. Quinn's conceptual portrait is a maximally realistic portrait, for it holds actual instructions according to which Sulston was created.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Many corporations have begun decorating their halls with motivational posters in hopes of boosting their employees' motivation to work productively. However, almost all employees at these corporations are already motivated to work productively. So these corporations' use of motivational posters is unlikely to achieve its intended purpose.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Atrens: An early entomologist observed ants carrying particles to neighboring ant colonies and inferred that the ants were bringing food to their neighbors. Further research, however, revealed that the ants were emptying their own colony's dumping site. Thus, the early entomologist was wrong.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Jablonski, who owns a car dealership, has donated cars to driver education programs at area schools for over five years. She found the statistics on car accidents to be disturbing, and she wanted to do something to encourage better driving in young drivers. Some members of the community have shown their support for this action by purchasing cars from Jablonski's dealership.",No,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Antonio: One can live a life of moderation by never deviating from the middle course. But then one loses the joy of spontaneity and misses the opportunities that come to those who are occasionally willing to take great chances, or to go too far. Marla: But one who, in the interests of moderation, never risks going too far is actually failing to live a life of moderation: one must be moderate even in one's moderation.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Advertisement: Fabric-Soft leaves clothes soft and fluffy, and its fresh scent is a delight. We conducted a test using over 100 consumers to prove Fabric-Soft is best. Each consumer was given one towel washed with Fabric-Soft and one towel washed without it. Ninety-nine percent of the consumers preferred the Fabric-Soft towel. So Fabric-Soft is the most effective fabric softener available.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Naturalist: The recent claims that the Tasmanian tiger is not extinct are false. The Tasmanian tiger's natural habitat was taken over by sheep farming decades ago, resulting in the animal's systematic elimination from the area. Since then naturalists working in the region have discovered no hard evidence of its survival, such as carcasses or tracks. In spite of alleged sightings of the animal, the Tasmanian tiger no longer exists.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Advertisers have learned that people are more easily encouraged to develop positive attitudes about things toward which they originally have neutral or even negative attitudes if those things are linked, with pictorial help rather than exclusively through prose, to things about which they already have positive attitudes. Therefore, advertisers are likely to",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Feathers recently taken from seabirds stuffed and preserved in the 1880s have been found to contain only half as much mercury as feathers recently taken from living birds of the same species. Since mercury that accumulates in a seabird's feathers as the feathers grow is derived from fish eaten by the bird, these results indicate that mercury levels in saltwater fish are higher now than they were 100 years ago.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Novel X and Novel Y are both semiautobiographical novels and contain many very similar themes and situations, which might lead one to suspect plagiarism on the part of one of the authors. However, it is more likely that the similarity of themes and situations in the two novels is merely coincidental, since both authors are from very similar backgrounds and have led similar lives.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Therapist: Cognitive psychotherapy focuses on changing a patient's conscious beliefs. Thus, cognitive psychotherapy is likely to be more effective at helping patients overcome psychological problems than are forms of psychotherapy that focus on changing unconscious beliefs and desires, since only conscious beliefs are under the patient's direct conscious control.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Commentator: In academic scholarship, sources are always cited, and methodology and theoretical assumptions are set out, so as to allow critical study, replication, and expansion of scholarship. In open-source software, the code in which the program is written can be viewed and modified by individual users for their purposes without getting permission from the producer or paying a fee. In contrast, the code of proprietary software is kept secret, and modifications can be made only by the producer, for a fee. This shows that open-source software better matches the values embodied in academic scholarship, and since scholarship is central to the mission of universities, universities should use only open-source software.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"A consumer magazine surveyed people who had sought a psychologist's help with a personal problem. Of those responding who had received treatment for 6 months or less, 20 percent claimed that treatment ""made things a lot better."" Of those responding who had received longer treatment, 36 percent claimed that treatment ""made things a lot better."" Therefore, psychological treatment lasting more than 6 months is more effective than shorter-term treatment.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Philosopher: Nations are not literally persons; they have no thoughts or feelings, and, literally speaking, they perform no actions. Thus they have no moral rights or responsibilities. But no nation can survive unless many of its citizens attribute such rights and responsibilities to it, for nothing else could prompt people to make the sacrifices national citizenship demands. Obviously, then, a nation",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"When exercising the muscles in one's back, it is important, in order to maintain a healthy back, to exercise the muscles on opposite sides of the spine equally. After all, balanced muscle development is needed to maintain a healthy back, since the muscles on opposite sides of the spine must pull equally in opposing directions to keep the back in proper alignment and protect the spine.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Editorialist: In all cultures, it is almost universally accepted that one has a moral duty to prevent members of one's family from being harmed. Thus, few would deny that if a person is known by the person's parents to be falsely accused of a crime, it would be morally right for the parents to hide the accused from the police. Hence, it is also likely to be widely accepted that it is sometimes morally right to obstruct the police in their work.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Editor: Many candidates say that if elected they will reduce governmental intrusion into voters' lives. But voters actually elect politicians who instead promise that the government will provide assistance to solve their most pressing problems. Governmental assistance, however, costs money, and money can come only from taxes, which can be considered a form of governmental intrusion. Thus, governmental intrusion into the lives of voters will rarely be substantially reduced over time in a democracy.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"We should accept the proposal to demolish the old train station, because the local historical society, which vehemently opposes this, is dominated by people who have no commitment to long-term economic well-being. Preserving old buildings creates an impediment to new development, which is critical to economic health.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Our country should attempt to safeguard works of art that it deems to possess national cultural significance. These works might not be recognized as such by all taxpayers, or even all critics. Nevertheless, our country ought to expend whatever money is needed to procure all such works as they become available.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Documents of importance to local heritage should be properly preserved and archived for the sake of future generations. For, if even one of these documents is damaged or lost, the integrity of the historical record as a whole will be damaged.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"You should have your hair cut no more than once a month. After all, beauticians suggest that their customers have their hair cut twice a month, and they do this as a way of generating more business for themselves.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"The committee should endorse the plan to postpone construction of the new expressway. Many residents of the neighborhoods that would be affected are fervently opposed to that construction, and the committee is obligated to avoid alienating those residents.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"One should not borrow even small amounts of money unless it is absolutely necessary. Once one borrows a few dollars, the interest starts to accumulate. The longer one takes to repay, the more one ends up owing, and eventually a small debt has become a large one.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Ethicist: On average, animals raised on grain must be fed sixteen pounds of grain to produce one pound of meat. A pound of meat is more nutritious for humans than a pound of grain, but sixteen pounds of grain could feed many more people than could a pound of meat. With grain yields leveling off, large areas of farmland going out of production each year, and the population rapidly expanding, we must accept the fact that consumption of meat will soon be morally unacceptable.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"If the price it pays for coffee beans continues to increase, the Coffee Shoppe will have to increase its prices. In that case, either the Coffee Shoppe will begin selling noncoffee products or its coffee sales will decrease. But selling noncoffee products will decrease the Coffee Shoppe's overall profitability. Moreover, the Coffee Shoppe can avoid a decrease in overall profitability only if its coffee sales do not decrease.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Political candidates' speeches are loaded with promises and with expressions of good intention, but one must not forget that the politicians' purpose in giving these speeches is to get themselves elected. Clearly, then, these speeches are selfishly motivated and the promises made in them are unreliable.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Sociologist: Romantics who claim that people are not born evil but may be made evil by the imperfect institutions that they form cannot be right, for they misunderstand the causal relationship between people and their institutions. After all, institutions are merely collections of people.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"Some anthropologists argue that the human species could not have survived prehistoric times if the species had not evolved the ability to cope with diverse natural environments. However, there is considerable evidence that Australopithecus afarensis, a prehistoric species related to early humans, also thrived in a diverse array of environments, but became extinct. Hence, the anthropologists' claim is false.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-3,,Test Prep
"1. Several years have now elapsed since I first became aware that I had accepted, even from my youth, many false opinions for true, and that consequently what I afterward based on such principles was highly doubtful; and from that time I was convinced of the necessity of undertaking once in my life to rid myself of all the opinions I had adopted, and of commencing anew the work of building from the foundation, if I desired to establish a firm and abiding superstructure in the sciences. But as this enterprise appeared to me to be one of great magnitude, I waited until I had attained an age so mature as to leave me no hope that at any stage of life more advanced I should be better able to execute my design. On this account, I have delayed so long that I should henceforth consider I was doing wrong were I still to consume in deliberation any of the time that now remains for action. To-day, then, since I have opportunely freed my mind from all cares and am happily disturbed by no passions, and since I am in the secure possession of leisure in a peaceable retirement, I will at length apply myself earnestly and freely to the general overthrow of all my former opinions",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"2. But, to this end, it will not be necessary for me to show that the whole of these are false—a point, perhaps, which I shall never reach; but as even now my reason convinces me that I ought not the less carefully to withhold belief from what is not entirely certain and indubitable, than from what is manifestly false, it will be sufficient to justify the rejection of the whole if I shall find in each some ground for doubt. Nor for this purpose will it be necessary even to deal with each belief individually, which would be truly an endless labor; but, as the removal from below of the foundation necessarily involves the downfall of the whole edifice, I will at once approach the criticism of the principles on which all my former beliefs rested.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"3. All that I have, up to this moment, accepted as possessed of the highest truth and certainty, I received either from or through the senses. I observed, however, that these sometimes misled us; and it is the part of prudence not to place absolute confidence in that by which we have even once been deceived.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"4. But it may be said, perhaps, that, although the senses occasionally mislead us respecting minute objects, and such as are so far removed from us as to be beyond the reach of close observation, there are yet many other of their informations (presentations), of the truth of which it is manifestly impossible to doubt; as for example, that I am in this place, seated by the fire, clothed in a winter dressing gown, that I hold in my hands this piece of paper, with other intimations of the same nature. But how could I deny that I possess these hands and this body, and withal escape being classed with persons in a state of insanity, whose brains are so disordered and clouded by dark bilious vapors as to cause them pertinaciously to assert that they are monarchs when they are in the greatest poverty; or clothed in gold and purple when destitute of any covering; or that their head is made of clay, their body of glass, or that they are gourds? I should certainly be not less insane than they, were I to regulate my procedure according to examples so extravagant.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"5. Though this be true, I must nevertheless here consider that I am a man, and that, consequently, I am in the habit of sleeping, and representing to myself in dreams those same things, or even sometimes others less probable, which the insane think are presented to them in their waking moments. How often have I dreamt that I was in these familiar circumstances, that I was dressed, and occupied this place by the fire, when I was lying undressed in bed? At the present moment, however, I certainly look upon this paper with eyes wide awake; the head which I now move is not asleep; I extend this hand consciously and with express purpose, and I perceive it; the occurrences in sleep are not so distinct as all this. But I cannot forget that, at other times I have been deceived in sleep by similar illusions; and, attentively considering those cases, I perceive so clearly that there exist no certain marks by which the state of waking can ever be distinguished from sleep, that I feel greatly astonished; and in amazement I almost persuade myself that I am now dreaming.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"6. Let us suppose, then, that we are dreaming, and that all these particulars—namely, the opening of the eyes, the motion of the head, the forth- putting of the hands—are merely illusions; and even that we really possess neither an entire body nor hands such as we see. Nevertheless it must be admitted at least that the objects which appear to us in sleep are, as it were, painted representations which could not have been formed unless in the likeness of realities; and, therefore, that those general objects, at all events, namely, eyes, a head, hands, and an entire body, are not simply imaginary, but really existent. For, in truth, painters themselves, even when they study to represent sirens and satyrs by forms the most fantastic and extraordinary, cannot bestow upon them natures absolutely new, but can only make a certain medley of the members of different animals; or if they chance to imagine something so novel that nothing at all similar has ever been seen before, and such as is, therefore, purely fictitious and absolutely false, it is at least certain that the colors of which this is composed are real. And on the same principle, although these general objects, viz. a body, eyes, a head, hands, and the like, be imaginary, we are nevertheless absolutely necessitated to admit the reality at least of some other objects still more simple and universal than these, of which, just as of certain real colors, all those images of things, whether true and real, or false and fantastic, that are found in our consciousness (cogitatio),are formed.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"7. To this class of objects seem to belong corporeal nature in general and its extension; the figure of extended things, their quantity or magnitude, and their number, as also the place in, and the time during, which they exist, and other things of the same sort.",No,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"8. We will not, therefore, perhaps reason illegitimately if we conclude from this that Physics, Astronomy, Medicine, and all the other sciences that have for their end the consideration of composite objects, are indeed of a doubtful character; but that Arithmetic, Geometry, and the other sciences of the same class, which regard merely the simplest and most general objects, and scarcely inquire whether or not these are really existent, contain somewhat that is certain and indubitable: for whether I am awake or dreaming, it remains true that two and three make five, and that a square has but four sides; nor does it seem possible that truths so apparent can ever fall under a suspicion of falsity or incertitude.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"9. Nevertheless, the belief that there is a God who is all powerful, and who created me, such as I am, has, for a long time, obtained steady possession of my mind. How, then, do I know that he has not arranged that there should be neither earth, nor sky, nor any extended thing, nor figure, nor magnitude, nor place, providing at the same time, however, for the rise in me of the perceptions of all these objects, and the persuasion that these do not exist otherwise than as I perceive them? And further, as I sometimes think that others are in error respecting matters of which they believe themselves to possess a perfect knowledge, how do I know that I am not also deceived each time I add together two and three, or number the sides of a square, or form some judgment still more simple, if more simple indeed can be imagined? But perhaps Deity has not been willing that I should be thus deceived, for he is said to be supremely good. If, however, it were repugnant to the goodness of Deity to have created me subject to constant deception, it would seem likewise to be contrary to his goodness to allow me to be occasionally deceived; and yet it is clear that this is permitted.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"10. Some, indeed, might perhaps be found who would be disposed rather to deny the existence of a Being so powerful than to believe that there is nothing certain. But let us for the present refrain from opposing this opinion, and grant that all which is here said of a Deity is fabulous: nevertheless, in whatever way it be supposed that I reach the state in which I exist, whether by fate, or chance, or by an endless series of antecedents and consequents, or by any other means, it is clear (since to be deceived and to err is a certain defect) that the probability of my being so imperfect as to be the constant victim of deception, will be increased exactly in proportion as the power possessed by the cause, to which they assign my origin, is lessened. To these reasonings I have assuredly nothing to reply, but am constrained at last to avow that there is nothing of all that I formerly believed to be true of which it is impossible to doubt, and that not through thoughtlessness or levity, but from cogent and maturely considered reasons; so that henceforward, if I desire to discover anything certain, I ought not the less carefully to refrain from assenting to those same opinions than to what might be shown to be manifestly false.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"11. But it is not sufficient to have made these observations; care must be taken likewise to keep them in remembrance. For those old and customary opinions perpetually recur— long and familiar usage giving them the right of occupying my mind, even almost against my will, and subduing my belief; nor will I lose the habit of deferring to them and confiding in them so long as I shall consider them to be what in truth they are, viz, opinions to some extent doubtful, as I have already shown, but still highly probable, and such as it is much more reasonable to believe than deny. It is for this reason I am persuaded that I shall not be doing wrong, if, taking an opposite judgment of deliberate design, I become my own deceiver, by supposing, for a time, that all those opinions are entirely false and imaginary, until at length, having thus balanced my old by my new prejudices, my judgment shall no longer be turned aside by perverted usage from the path that may conduct to the perception of truth. For I am assured that, meanwhile, there will arise neither peril nor error from this course, and that I cannot for the present yield too much to distrust, since the end I now seek is not action but knowledge.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"12. I will suppose, then, not that Deity, who is sovereignly good and the fountain of truth, but that some malignant demon, who is at once exceedingly potent and deceitful, has employed all his artifice to deceive me; I will suppose that the sky, the air, the earth, colors, figures, sounds, and all external things, are nothing better than the illusions of dreams, by means of which this being has laid snares for my credulity; I will consider myself as without hands, eyes, flesh, blood, or any of the senses, and as falsely believing that I am possessed of these; I will continue resolutely fixed in this belief, and if indeed by this means it be not in my power to arrive at the knowledge of truth, I shall at least do what is in my power, viz, suspend my judgment , and guard with settled purpose against giving my assent to what is false, and being imposed upon by this deceiver, whatever be his power and artifice. But this undertaking is arduous, and a certain indolence insensibly leads me back to my ordinary course of life; and just as the captive, who, perchance, was enjoying in his dreams an imaginary liberty, when he begins to suspect that it is but a vision, dreads awakening, and conspires with the agreeable illusions that the deception may be prolonged; so I, of my own accord, fall back into the train of my former beliefs, and fear to arouse myself from my slumber, lest the time of laborious wakefulness that would succeed this quiet rest, in place of bringing any light of day, should prove inadequate to dispel the darkness that will arise from the difficulties that have now been raised.",Yes,http://www.philosophy-index.com/descartes/meditations/i.php,Descartes,Meditation One
"1. The Meditation of yesterday has filled my mind with so many doubts, that it is no longer in my power to forget them. Nor do I see, meanwhile, any principle on which they can be resolved; and, just as if I had fallen all of a sudden into very deep water, I am so greatly disconcerted as to be unable either to plant my feet firmly on the bottom or sustain myself by swimming on the surface. I will, nevertheless, make an effort, and try anew the same path on which I had entered yesterday, that is, proceed by casting aside all that admits of the slightest doubt, not less than if I had discovered it to be absolutely false; and I will continue always in this track until I shall find something that is certain, or at least, if I can do nothing more, until I shall know with certainty that there is nothing certain. Archimedes, that he might transport the entire globe from the place it occupied to another, demanded only a point that was firm and immovable; so, also, I shall be entitled to entertain the highest expectations, if I am fortunate enough to discover only one thing that is certain and indubitable.",No,http://www.philosophy-index.com/descartes/meditations/ii.php,Descartes,Meditation Two
"2. I suppose, accordingly, that all the things which I see are false (fictitious); I believe that none of those objects which my fallacious memory represents ever existed; I suppose that I possess no senses; I believe that body, figure, extension, motion, and place are merely fictions of my mind. What is there, then, that can be esteemed true? Perhaps this only, that there is absolutely nothing certain.",Yes,http://www.philosophy-index.com/descartes/meditations/ii.php,Descartes,Meditation Two
